Food,Serving,Calories,Food_VN
Veggie Pizza,1 slice (114 g),263 cal,Pizza chay
White Pizza,1 slice (232 g),571 cal,Pizza trắng
Acerola,1 acerola (4.8 g),1 cal,Sơ ri
Asian Pear,1 pear (178 g),75 cal,lê châu Á
Avocado,1 avocado (200 g),320 cal,quả bơ
Banana,1 banana (125 g),111 cal,Chuối
Breadfruit,1/4 breadfruit (96 g),99 cal,Bánh mì
Cantaloupe Melon,1 wedge (69 g),23 cal,dưa lưới dưa đỏ
Casaba Melon,1 wedge (125 g),35 cal,Dưa Casaba
Cherimoya,1 cherimoya (235 g),176 cal,Cherimoya
Dragon Fruit,1 dragonfruit (200 g),120 cal,thanh long
Durian,1 durian (602 g),885 cal,sầu riêng
Feijoa,1 feijoa (42 g),23 cal,Feijoa
Galia Melon,1 melon (130 g),30 cal,dưa Galia
Grapefruit,1/2 grapefruit (123 g),52 cal,Bưởi
Guava,1 guava (55 g),37 cal,Ổi
Honeydew,1 wedge (125 g),45 cal,mật ngọt
Jackfruit,1 cup (151 g),143 cal,Mít
Kiwi,1 kiwi (183 g),112 cal,Kiwi
Kumquat,1 kumquat (19 g),13 cal,quất
Lychee,1 lychee (10 g),7 cal,vải thiều
Mandarin Oranges,1 madarin orange (90 g),48 cal,Quả quýt
Mango,1 mango (336 g),202 cal,Quả xoài
Mangosteen,1 serving (80 g),58 cal,măng cụt
Maracuya,1 maracuya (18 g),17 cal,Maracuya
Maraschino Cherries,1 cherry (5 g),8 cal,Anh đào Maraschino
Muskmelon,1 wedge (69 g),23 cal,Dưa lưới
Noni,1 oz. (28.4 g),15 cal,trái nhàu
Passion Fruit,1 passion fruit (18 g),17 cal,chanh dây
Pineapple,1 pineapple (905 g),453 cal,Quả dứa
Pink Grapefruit,1/2 grapefruit (123 g),52 cal,Bưởi hồng
Plantain,1 plantain (179 g),218 cal,chuối
Pomegranate,1 pomegranate (282 g),234 cal,Lựu
Pomelo,1 pomelo (609 g),231 cal,bưởi
Prickly Pear,"1 pad, peeled (19 g)",8 cal,lê gai
Rambutan,1 rambutan (9 g),7 cal,chôm chôm
Sapodilla,1 sapodilla (170 g),141 cal,Hồng xiêm
Soursop Fruit,1 soursop fruit (625 g),413 cal,Mãng cầu xiêm
Star Fruit,1 starfruit (91 g),28 cal,Khế
Tamarind,1 tamarind (2 g),5 cal,me
Watermelon,1 wedge (286 g),86 cal,dưa hấu
Arby’s Grand Turkey Club,1 sandwich (233 g),489 cal,Câu lạc bộ gà tây lớn của Arby
Arby’s Reuben,1 sandwich (308 g),641 cal,Reuben của Arby
Arby’s Roast Beef Classic,1 burger (154 g),360 cal,Thịt bò nướng cổ điển của Arby
Arby’s Roast Beef Max,1 burger (154 g),360 cal,Thịt bò nướng Max của Arby
BBQ Rib,1 rib (67 g),142 cal,Sườn BBQ
Bean Burrito,1 burrito (190 g),380 cal,Burrito đậu
Big N’ Tasty,1 sandwich (232 g),517 cal,Big N' ngon
Bratwurst,1 piece (85 g),283 cal,Bratwurst
Burger King Angry Whopper,1 burger (290 g),740 cal,Burger King tức giận Whopper
Burger King Double Whopper,1 burger (374 g),894 cal,Burger King đôi Whopper
Burger King Double Whopper with Cheese,1 sandwich (399 g),994 cal,Burger King Double Whopper với phô mai
Burger King Original Chicken Sandwich,1 sandwich (219 g),659 cal,Sandwich gà nguyên bản của Burger King
Burger King Premium Alaskan Fish Sandwich,1 burger (228 g),591 cal,Sandwich cá Alaska cao cấp Burger King
Burger King Triple Whopper,1 burger (547 g),1471 cal,Burger King ba bánh Whopper
Burger King Whopper,1 burger (291 g),672 cal,Burger King Whopper
Burger King Whopper Jr.,1 burger (148 g),346 cal,Burger King Whopper Jr.
Burger King Whopper with Cheese,1 burger (315 g),759 cal,Burger King Whopper với phô mai
Cheeseburger,1 burger (156 g),410 cal,bánh mì kẹp phô mai
Chicken Breast,1 piece (71 g),116 cal,Ức gà
Chicken Fajita,1 sandwich (222 g),326 cal,Gà Fajita
Chicken McNuggets,1 nugget (16 g),48 cal,gà cốm
Chicken Nuggets,1 piece (20 g),59 cal,gà viên
Chicken Pizziola,1 sandwich (320 g),451 cal,Pizza gà
Chicken Sandwich,1 sandwich (170 g),410 cal,Sandwich gà
Chicken Teriyaki Sandwich,1 sandwich (266 g),367 cal,Sandwich gà Teriyaki
Chicken Wings,1 piece (29 g),94 cal,Cánh gà
Chop Suey,1 serving (340 g),585 cal,Chop Suey
Curly Fries,1 serving (128 g),398 cal,Khoai tây chiên xoăn
Double Cheeseburger,1 burger (155 g),414 cal,Bánh mì kẹp phô mai đôi
Egg Roll,1 roll (80 g),200 cal,trứng cuộn
Falafel,1 patty (17 g),57 cal,Falafel
Filet-o-Fish,1 sandwich (142 g),400 cal,Filet-o-Fish
Fish and Chips,1 serving (300 g),585 cal,Cá và khoai tây chiên
Fish Sandwich,1 sandwich (158 g),431 cal,Sandwich cá
French Fries,1 serving (71 g),222 cal,khoai tây chiên
Grilled Chicken Salad,1 salad (305 g),268 cal,Salad gà nướng
Ham Sandwich,1 sandwich (146 g),352 cal,Sandwich giăm bông
Hamburger,1 sandwich (110 g),279 cal,bánh mì kẹp thịt
Hot Dog,1 hot dog (116 g),312 cal,xúc xích
Italian BMT,1 sandwich (224 g),410 cal,BMT Ý
Lasagna,1 piece (130 g),172 cal,Lasagna
McDonald’s Big Mac,1 burger (219 g),561 cal,Mac lớn của McDonald
McDonald’s Cheeseburger,1 sandwich (114 g),300 cal,Bánh mì kẹp thịt phô mai của McDonald
McDonald’s Chicken Nuggets,1 nugget (16 g),48 cal,Gà cốm của McDonald's
McDonald’s Double Cheeseburger,1 burger (155 g),437 cal,Bánh mì kẹp phô mai đôi của McDonald
McDonald’s Filet-o-Fish,1 sandwich (142 g),391 cal,Cá Filet-o-Fish của McDonald
McDonald’s McChicken,1 burger (143 g),359 cal,McDonald McDonald's
McDonald’s McDouble,1 burger (160 g),403 cal,McDonald's McDouble
McDonald’s McMuffi Egg,1 burger (129 g),290 cal,Trứng McMuffi của McDonald
McDonald’s McRib,1 sandwich (170 g),451 cal,McRib của McDonald
McDonald’s Mighty Wings,1 wing (31 g),95 cal,Đôi cánh hùng mạnh của McDonald
McRib,1 sandwich (170 g),451 cal,McRib
Meatball Sandwich,1 sandwich (299 g),481 cal,Sandwich thịt viên
Nachos with Cheese,10 nachos (188 g),575 cal,Nachos với phô mai
Onion Rings,1 ring (6.5 g),25 cal,Nhẫn hành tây
Poutine,1 serving (225 g),511 cal,poutine
Smoked Salmon,1 oz. (28.35 g),44 cal,Cá hồi hun khói
Spicy Italian,1 sandwich (219 g),480 cal,Ý cay
Subway Club Sandwich,1 sandwich (238 g),312 cal,Câu lạc bộ tàu điện ngầm Sandwich
Tortilla Wrap,1 wrap (63 g),171 cal,Bánh Tortilla Bọc
Tuna,1 oz. (28.35 g),24 cal,Cá ngừ
Turkey,1 oz. (28.35 g),29 cal,Thổ Nhĩ Kỳ
Veggie Burger,1 burger (215 g),389 cal,Burger chay
Veggie Delight,1 sandwich (166 g),229 cal,Món chay thỏa thích
Veggie Patty,1 sandwich (247 g),963 cal,bánh chay
Wendy’s Baconator,1 burger (276 g),839 cal,Thịt xông khói của Wendy
Wendy’s Jr. Bacon Cheeseburger,1 burger (161 g),420 cal,Bánh mì kẹp phô mai thịt xông khói của Wendy's Jr.
Wendy’s Jr. Cheeseburger,1 burger (129 g),290 cal,Bánh mì kẹp phô mai của Wendy's Jr.
Wendy’s Son of Baconator,1 burger (218 g),700 cal,Con trai thịt xông khói của Wendy
Whopper,1 burger (291 g),672 cal,Whopper
Zinger,1 sandwich (202 g),517 cal,Zinger
Zinger Burger,1 sandwich (202 g),517 cal,Burger Zinger
